transaction_id,timestamp,amount,merchant,category,country,device
TXN00000,2026-01-01 00:00:00,66.56,Uber,Food,IN,Android
TXN00001,2026-01-01 01:00:00,27.77,Swiggy,Bills,IN,Android
TXN00002,2026-01-01 02:00:00,88.92,Amazon,Travel,IN,Android
TXN00003,2026-01-01 03:00:00,100.62,Uber,Shopping,IN,Android
TXN00004,2026-01-01 04:00:00,15.36,Flipkart,Bills,IN,Android
TXN00005,2026-01-01 05:00:00,23.42,Uber,Shopping,IN,Android
TXN00006,2026-01-01 06:00:00,59.33,Reliance,Entertainment,IN,Web
TXN00007,2026-01-01 07:00:00,44.45,Uber,Travel,IN,Android
TXN00008,2026-01-01 08:00:00,54.01,Myntra,Food,IN,Android
TXN00009,2026-01-01 09:00:00,31.36,Amazon,Shopping,IN,Web
TXN00010,2026-01-01 10:00:00,519.3047141742845,Myntra,Shopping,IN,Android
TXN00011,2026-01-01 11:00:00,90.52,Uber,Entertainment,IN,Android
TXN00012,2026-01-01 12:00:00,56.99,Amazon,Travel,IN,iOS
TXN00013,2026-01-01 13:00:00,113.6,Flipkart,Entertainment,IN,iOS
TXN00014,2026-01-01 14:00:00,73.99,Reliance,Entertainment,IN,Android
TXN00015,2026-01-01 15:00:00,31.23,Other,Shopping,IN,iOS
TXN00016,2026-01-01 16:00:00,69.39,Uber,Food,IN,iOS
TXN00017,2026-01-01 17:00:00,29.27,Other,Entertainment,IN,Android
TXN00018,2026-01-01 18:00:00,96.64,Flipkart,Travel,IN,Android
TXN00019,2026-01-01 19:00:00,52.85,Swiggy,Travel,IN,Android
TXN00020,2026-01-01 20:00:00,48.42,Other,Travel,IN,iOS
TXN00021,2026-01-01 21:00:00,35.07,Flipkart,Bills,IN,Android
TXN00022,2026-01-01 22:00:00,120.86,Myntra,Entertainment,IN,Android
TXN00023,2026-01-01 23:00:00,49.38,Flipkart,Entertainment,IN,Android
TXN00024,2026-01-02 00:00:00,41.33,Swiggy,Bills,IN,Web
TXN00025,2026-01-02 01:00:00,43.43,Uber,Travel,IN,Android
TXN00026,2026-01-02 02:00:00,77.17,Swiggy,Food,IN,Android
TXN00027,2026-01-02 03:00:00,69.24,Other,Shopping,IN,Android
TXN00028,2026-01-02 04:00:00,71.4,Other,Bills,IN,iOS
TXN00029,2026-01-02 05:00:00,72.24,Uber,Shopping,IN,Android
TXN00030,2026-01-02 06:00:00,219.66,Uber,Bills,IN,Web
TXN00031,2026-01-02 07:00:00,41.92,Amazon,Travel,IN,Android
TXN00032,2026-01-02 08:00:00,39.14,Flipkart,Bills,IN,Android
TXN00033,2026-01-02 09:00:00,32.17,Amazon,Entertainment,IN,Android
TXN00034,2026-01-02 10:00:00,81.48,Reliance,Travel,IN,Android
TXN00035,2026-01-02 11:00:00,113.73,Flipkart,Travel,IN,Android
TXN00036,2026-01-02 12:00:00,670.4534369914336,Swiggy,Travel,IN,iOS
TXN00037,2026-01-02 13:00:00,31.62,Reliance,Food,IN,Android
TXN00038,2026-01-02 14:00:00,31.95,Myntra,Shopping,IN,iOS
TXN00039,2026-01-02 15:00:00,83.34,Myntra,Shopping,IN,Android
TXN00040,2026-01-02 16:00:00,88.51,Amazon,Bills,IN,iOS
TXN00041,2026-01-02 17:00:00,77.72,Uber,Entertainment,IN,Android
TXN00042,2026-01-02 18:00:00,35.43,Uber,Shopping,IN,Android
TXN00043,2026-01-02 19:00:00,63.49,Swiggy,Food,IN,Android
TXN00044,2026-01-02 20:00:00,58.9,Reliance,Bills,IN,Web
TXN00045,2026-01-02 21:00:00,62.94,Other,Bills,IN,Web
TXN00046,2026-01-02 22:00:00,96.2,Flipkart,Bills,IN,iOS
TXN00047,2026-01-02 23:00:00,63.14,Swiggy,Bills,IN,Web
TXN00048,2026-01-03 00:00:00,84.88,Swiggy,Shopping,IN,Android
TXN00049,2026-01-03 01:00:00,57.05,Reliance,Food,IN,Android
TXN00050,2026-01-03 02:00:00,65.89,Amazon,Travel,IN,Android
TXN00051,2026-01-03 03:00:00,82.3,Other,Shopping,IN,Web
TXN00052,2026-01-03 04:00:00,21.18,Reliance,Food,IN,Android
TXN00053,2026-01-03 05:00:00,44.35,Uber,Food,IN,Android
TXN00054,2026-01-03 06:00:00,40.22,Myntra,Entertainment,IN,iOS
TXN00055,2026-01-03 07:00:00,36.04,Other,Food,IN,Android
TXN00056,2026-01-03 08:00:00,45.66,Reliance,Entertainment,IN,iOS
TXN00057,2026-01-03 09:00:00,144.27,Flipkart,Bills,IN,Android
TXN00058,2026-01-03 10:00:00,31.1,Amazon,Bills,IN,iOS
TXN00059,2026-01-03 11:00:00,102.45,Myntra,Entertainment,IN,Web
TXN00060,2026-01-03 12:00:00,18.29,Flipkart,Entertainment,IN,iOS
TXN00061,2026-01-03 13:00:00,43.92,Amazon,Food,IN,Android
TXN00062,2026-01-03 14:00:00,60.69,Other,Travel,IN,Android
TXN00063,2026-01-03 15:00:00,79.92,Uber,Travel,IN,Android
TXN00064,2026-01-03 16:00:00,86.69,Myntra,Entertainment,IN,Android
TXN00065,2026-01-03 17:00:00,91.44,Flipkart,Shopping,IN,iOS
TXN00066,2026-01-03 18:00:00,43.52,Amazon,Travel,IN,Android
TXN00067,2026-01-03 19:00:00,40.43,Amazon,Food,IN,Android
TXN00068,2026-01-03 20:00:00,95.36,Swiggy,Food,IN,Android
TXN00069,2026-01-03 21:00:00,48.21,Amazon,Bills,IN,Web
TXN00070,2026-01-03 22:00:00,23.83,Swiggy,Food,IN,Android
TXN00071,2026-01-03 23:00:00,26.14,Swiggy,Bills,IN,Android
TXN00072,2026-01-04 00:00:00,30.03,Uber,Entertainment,IN,Android
TXN00073,2026-01-04 01:00:00,75.43,Myntra,Bills,IN,Android
TXN00074,2026-01-04 02:00:00,59.89,Swiggy,Shopping,IN,Web
TXN00075,2026-01-04 03:00:00,85.53,Uber,Shopping,IN,Android
TXN00076,2026-01-04 04:00:00,41.36,Amazon,Travel,IN,iOS
TXN00077,2026-01-04 05:00:00,60.52,Swiggy,Travel,IN,iOS
TXN00078,2026-01-04 06:00:00,81.99,Other,Bills,IN,iOS
TXN00079,2026-01-04 07:00:00,44.65,Other,Travel,IN,iOS
TXN00080,2026-01-04 08:00:00,73.47,Uber,Shopping,IN,iOS
TXN00081,2026-01-04 09:00:00,35.51,Other,Entertainment,IN,Android
TXN00082,2026-01-04 10:00:00,43.12,Uber,Entertainment,IN,Android
TXN00083,2026-01-04 11:00:00,42.6,Amazon,Bills,IN,iOS
TXN00084,2026-01-04 12:00:00,25.1,Other,Bills,IN,iOS
TXN00085,2026-01-04 13:00:00,74.93,Swiggy,Entertainment,IN,Android
TXN00086,2026-01-04 14:00:00,40.24,Myntra,Travel,IN,Android
TXN00087,2026-01-04 15:00:00,55.04,Myntra,Shopping,IN,Android
TXN00088,2026-01-04 16:00:00,74.63,Swiggy,Bills,IN,Android
TXN00089,2026-01-04 17:00:00,72.98,Reliance,Travel,IN,Android
TXN00090,2026-01-04 18:00:00,744.2422816242707,Uber,Bills,IN,Android
TXN00091,2026-01-04 19:00:00,51.21,Swiggy,Bills,IN,Android
TXN00092,2026-01-04 20:00:00,41.47,Swiggy,Travel,IN,iOS
TXN00093,2026-01-04 21:00:00,51.84,Reliance,Food,IN,iOS
TXN00094,2026-01-04 22:00:00,18.23,Flipkart,Travel,IN,iOS
TXN00095,2026-01-04 23:00:00,21.31,Amazon,Bills,IN,iOS
TXN00096,2026-01-05 00:00:00,23.11,Other,Bills,IN,Android
TXN00097,2026-01-05 01:00:00,28.55,Swiggy,Travel,IN,Android
TXN00098,2026-01-05 02:00:00,70.8,Myntra,Travel,IN,iOS
TXN00099,2026-01-05 03:00:00,30.31,Reliance,Entertainment,IN,iOS
TXN00100,2026-01-05 04:00:00,42.7,Reliance,Food,IN,iOS
TXN00101,2026-01-05 05:00:00,127.04,Myntra,Shopping,IN,iOS
TXN00102,2026-01-05 06:00:00,43.31,Myntra,Bills,IN,iOS
TXN00103,2026-01-05 07:00:00,88.18,Reliance,Entertainment,IN,iOS
TXN00104,2026-01-05 08:00:00,29.76,Other,Bills,IN,iOS
TXN00105,2026-01-05 09:00:00,47.77,Amazon,Travel,IN,iOS
